"id","name","neighbourhood","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","availability_365","X","Y","CategX","CategY"
20386719,"Eclettico appartamento dall'anima artistica nel centro di Bologna","Porto - Saragozza","Entire home/apt",119,2,31,"13/05/2021",2.54,297,44.49931,11.34367,"(44.498,44.5]","(44.498,44.5]"
20387252,"l'8Boutique design apartments 8-08","Porto - Saragozza","Entire home/apt",104,2,0,"",NA,293,44.49931,11.34367,"(44.498,44.5]","(44.498,44.5]"
20462679,"Dalla signora Cesira","Porto - Saragozza","Private room",55,2,27,"29/09/2019",0.84,0,44.49347,11.33824,"(44.492,44.494]","(44.492,44.494]"
20551478,"Bright and Comfortable in Historical Bologna","Santo Stefano","Entire home/apt",78,3,34,"13/08/2019",0.78,47,44.49108,11.35351,"(44.49,44.492]","(44.49,44.492]"
20579464,"Beautiful flat in Bologna historical centre","Porto - Saragozza","Entire home/apt",85,1,11,"08/04/2019",0.27,0,44.49183,11.33626,"(44.492,44.494]","(44.492,44.494]"
20611415,"Sunny flat close to Piazza Maggiore and station","Porto - Saragozza","Entire home/apt",70,20,6,"30/09/2020",0.19,269,44.50116,11.3354,"(44.5,44.502]","(44.5,44.502]"
20621631,"Bologna Porta Saragozza & San Luca","Porto - Saragozza","Entire home/apt",43,3,42,"10/07/2019",0.92,61,44.49084,11.31634,"(44.49,44.492]","(44.49,44.492]"
20623131,"Bologna Porta Lame","Porto - Saragozza","Entire home/apt",43,3,67,"25/07/2019",1.43,80,44.5028,11.33157,"(44.502,44.504]","(44.502,44.504]"
20628063,"Sleep & Fly 1, zona areoporto","Borgo Panigale - Reno","Private room",62,1,31,"28/01/2018",0.69,1,44.52156,11.29299,"(44.52,44.522]","(44.52,44.522]"
20660040,"VILLETTA POIS","Savena","Private room",45,1,31,"30/09/2019",0.77,271,44.4761,11.3963,"(44.476,44.478]","(44.476,44.478]"
20702033,"I 4 GATTI Bologna Guesthouse. Single room","Porto - Saragozza","Private room",50,1,3,"20/03/2018",0.07,180,44.49071,11.32875,"(44.49,44.492]","(44.49,44.492]"
20705756,"Il Giardino Nascosto","Santo Stefano","Entire home/apt",50,2,40,"27/09/2019",0.86,296,44.48669,11.3464,"(44.486,44.488]","(44.486,44.488]"
20755409,"Letto castello/bunkbed per una o due persone","Porto - Saragozza","Shared room",14,1,79,"01/06/2019",1.69,85,44.49769,11.32024,"(44.498,44.5]","(44.498,44.5]"
